-----------------------------------
数据大于1M,已自动保存: /Serial_Assistant_Cfg/Auto_Save/2024-07-04_19-05-40.txt
-----------------------------------
[19:05:40.912] {A=-19.602,B=-9.60195,C=0.398049,D=10.398,E=20.398,F=30.398,G=40.398,H=50.398,I=60.398,J=70.398}
[19:06:19.747] {A=98.0172,B=108.017,C=118.017,D=128.017,E=138.017,F=148.017,G=158.017,H=168.017,I=178.017,J=188.017}
[19:06:19.754] {A=96.5805,B=106.58,C=116.58,D=126.58,E=136.58,F=146.58,G=156.58,H=166.58,I=176.58,J=186.58}
[19:06:19.767] {A=94.763,B=104.763,C=114.763,D=124.763,E=134.763,F=144.763,G=154.763,H=164.763,I=174.763,J=184.763}
[19:06:19.777] {A=92.5718,B=102.572,C=112.572,D=122.572,E=132.572,F=142.572,G=152.572,H=162.572,I=172.572,J=182.572}
[19:06:19.789] {A=90.0157,B=100.016,C=110.016,D=120.016,E=130.016,F=140.016,G=150.016,H=160.016,I=170.016,J=180.016}
[19:06:19.797] {A=87.1047,B=97.1047,C=107.105,D=117.105,E=127.105,F=137.105,G=147.105,H=157.105,I=167.105,J=177.105}
[19:06:19.810] {A=83.8503,B=93.8503,C=103.85,D=113.85,E=123.85,F=133.85,G=143.85,H=153.85,I=163.85,J=173.85}
[19:06:19.819] {A=80.2653,B=90.2653,C=100.265,D=110.265,E=120.265,F=130.265,G=140.265,H=150.265,I=160.265,J=170.265}
[19:06:19.831] {A=76.3639,B=86.3639,C=96.3639,D=106.364,E=116.364,F=126.364,G=136.364,H=146.364,I=156.364,J=166.364}
[19:06:19.835] {A=72.1613,B=82.1613,C=92.1613,D=102.161,E=112.161,F=122.161,G=132.161,H=142.161,I=152.161,J=162.161}
[19:06:19.855] {A=67.6743,B=77.6743,C=87.6743,D=97.6743,E=107.674,F=117.674,G=127.674,H=137.674,I=147.674,J=157.674}
[19:06:19.862] {A=62.9205,B=72.9205,C=82.9205,D=92.9205,E=102.921,F=112.921,G=122.921,H=132.921,I=142.921,J=152.921}
[19:06:19.878] {A=57.9186,B=67.9186,C=77.9186,D=87.9186,E=97.9186,F=107.919,G=117.919,H=127.919,I=137.919,J=147.919}
[19:06:19.879] {A=52.6884,B=62.6884,C=72.6884,D=82.6884,E=92.6884,F=102.688,G=112.688,H=122.688,I=132.688,J=142.688}
[19:06:19.887] {A=47.2504,B=57.2504,C=67.2504,D=77.2504,E=87.2504,F=97.2504,G=107.25,H=117.25,I=127.25,J=137.25}
[19:06:19.905] {A=41.6262,B=51.6262,C=61.6262,D=71.6262,E=81.6262,F=91.6262,G=101.626,H=111.626,I=121.626,J=131.626}
[19:06:19.906] {A=35.8378,B=45.8378,C=55.8378,D=65.8378,E=75.8378,F=85.8378,G=95.8378,H=105.838,I=115.838,J=125.838}
[19:06:19.917] {A=29.9082,B=39.9082,C=49.9082,D=59.9082,E=69.9082,F=79.9082,G=89.9082,H=99.9082,I=109.908,J=119.908}
[19:06:19.931] {A=23.8606,B=33.8606,C=43.8606,D=53.8606,E=63.8606,F=73.8606,G=83.8606,H=93.8606,I=103.861,J=113.861}
[19:06:19.933] {A=17.7189,B=27.7189,C=37.7189,D=47.7189,E=57.7189,F=67.7189,G=77.7189,H=87.7189,I=97.7189,J=107.719}
[19:06:19.955] {A=11.5074,B=21.5074,C=31.5074,D=41.5074,E=51.5074,F=61.5074,G=71.5074,H=81.5074,I=91.5074,J=101.507}
[19:06:19.956] {A=5.25058,B=15.2506,C=25.2506,D=35.2506,E=45.2506,F=55.2506,G=65.2506,H=75.2506,I=85.2506,J=95.2506}
[19:06:19.968] {A=-1.02699,B=8.97301,C=18.973,D=28.973,E=38.973,F=48.973,G=58.973,H=68.973,I=78.973,J=88.973}
[19:06:19.982] {A=-7.3005,B=2.6995,C=12.6995,D=22.6995,E=32.6995,F=42.6995,G=52.6995,H=62.6995,I=72.6995,J=82.6995}
[19:06:19.986] {A=-13.5452,B=-3.54524,C=6.45476,D=16.4548,E=26.4548,F=36.4548,G=46.4548,H=56.4548,I=66.4548,J=76.4548}
[19:06:19.993] {A=-19.7366,B=-9.73657,C=0.263429,D=10.2634,E=20.2634,F=30.2634,G=40.2634,H=50.2634,I=60.2634,J=70.2634}
[19:06:20.006] {A=-25.8501,B=-15.8501,C=-5.85009,D=4.14991,E=14.1499,F=24.1499,G=34.1499,H=44.1499,I=54.1499,J=64.1499}
[19:06:20.017] {A=-31.8617,B=-21.8617,C=-11.8617,D=-1.8617,E=8.1383,F=18.1383,G=28.1383,H=38.1383,I=48.1383,J=58.1383}
[19:06:20.033] {A=-37.7477,B=-27.7477,C=-17.7477,D=-7.74768,E=2.25232,F=12.2523,G=22.2523,H=32.2523,I=42.2523,J=52.2523}
[19:06:20.037] {A=-43.4849,B=-33.4849,C=-23.4849,D=-13.4849,E=-3.48485,F=6.51515,G=16.5151,H=26.5151,I=36.5151,J=46.5151}
[19:06:20.044] {A=-49.0506,B=-39.0506,C=-29.0506,D=-19.0506,E=-9.05058,F=0.949423,G=10.9494,H=20.9494,I=30.9494,J=40.9494}
[19:06:20.064] {A=-54.4229,B=-44.4229,C=-34.4229,D=-24.4229,E=-14.4229,F=-4.42292,G=5.57708,H=15.5771,I=25.5771,J=35.5771}
[19:06:20.065] {A=-59.5807,B=-49.5807,C=-39.5807,D=-29.5807,E=-19.5807,F=-9.5807,G=0.419304,H=10.4193,I=20.4193,J=30.4193}
[19:06:20.074] {A=-64.5036,B=-54.5036,C=-44.5036,D=-34.5036,E=-24.5036,F=-14.5036,G=-4.50357,H=5.49643,I=15.4964,J=25.4964}
[19:06:20.090] {A=-69.1721,B=-59.1721,C=-49.1721,D=-39.1721,E=-29.1721,F=-19.1721,G=-9.17214,H=0.827858,I=10.8279,J=20.8279}
[19:06:20.110] {A=-73.568,B=-63.568,C=-53.568,D=-43.568,E=-33.568,F=-23.568,G=-13.568,H=-3.568,I=6.432,J=16.432}
[19:06:20.112] {A=-77.6738,B=-67.6738,C=-57.6738,D=-47.6738,E=-37.6738,F=-27.6738,G=-17.6738,H=-7.67381,I=2.32619,J=12.3262}
[19:06:20.113] {A=-81.4734,B=-71.4734,C=-61.4734,D=-51.4734,E=-41.4734,F=-31.4734,G=-21.4734,H=-11.4734,I=-1.47339,J=8.52661}
[19:06:20.131] {A=-84.9518,B=-74.9518,C=-64.9518,D=-54.9518,E=-44.9518,F=-34.9518,G=-24.9518,H=-14.9518,I=-4.95175,J=5.04825}
[19:06:20.133] {A=-88.0952,B=-78.0952,C=-68.0952,D=-58.0952,E=-48.0952,F=-38.0952,G=-28.0952,H=-18.0952,I=-8.09519,J=1.90481}
[19:06:20.155] {A=-90.8913,B=-80.8913,C=-70.8913,D=-60.8913,E=-50.8913,F=-40.8913,G=-30.8913,H=-20.8913,I=-10.8913,J=-0.89131}
[19:06:20.156] {A=-93.3291,B=-83.3291,C=-73.3291,D=-63.3291,E=-53.3291,F=-43.3291,G=-33.3291,H=-23.3291,I=-13.3291,J=-3.32909}
[19:06:20.168] {A=-95.3989,B=-85.3989,C=-75.3989,D=-65.3989,E=-55.3989,F=-45.3989,G=-35.3989,H=-25.3989,I=-15.3989,J=-5.39891}
[19:06:20.184] {A=-97.0926,B=-87.0926,C=-77.0926,D=-67.0926,E=-57.0926,F=-47.0926,G=-37.0926,H=-27.0926,I=-17.0926,J=-7.09262}
[19:06:20.185] {A=-98.4035,B=-88.4035,C=-78.4035,D=-68.4035,E=-58.4035,F=-48.4035,G=-38.4035,H=-28.4035,I=-18.4035,J=-8.40354}
[19:06:20.193] {A=-99.3265,B=-89.3265,C=-79.3265,D=-69.3265,E=-59.3265,F=-49.3265,G=-39.3265,H=-29.3265,I=-19.3265,J=-9.32649}
[19:06:20.214] {A=-99.8578,B=-89.8578,C=-79.8578,D=-69.8578,E=-59.8578,F=-49.8578,G=-39.8578,H=-29.8578,I=-19.8578,J=-9.85785}
[19:06:20.215] {A=-99.9955,B=-89.9955,C=-79.9955,D=-69.9955,E=-59.9955,F=-49.9955,G=-39.9955,H=-29.9955,I=-19.9955,J=-9.99551}
[19:06:20.224] {A=-99.7389,B=-89.7389,C=-79.7389,D=-69.7389,E=-59.7389,F=-49.7389,G=-39.7389,H=-29.7389,I=-19.7389,J=-9.73894}
[19:06:20.242] {A=-99.0891,B=-89.0891,C=-79.0891,D=-69.0891,E=-59.0891,F=-49.0891,G=-39.0891,H=-29.0891,I=-19.0891,J=-9.08914}
[19:06:20.243] {A=-98.0487,B=-88.0487,C=-78.0487,D=-68.0487,E=-58.0487,F=-48.0487,G=-38.0487,H=-28.0487,I=-18.0487,J=-8.04868}
[19:06:20.263] {A=-96.6217,B=-86.6217,C=-76.6217,D=-66.6217,E=-56.6217,F=-46.6217,G=-36.6217,H=-26.6217,I=-16.6217,J=-6.62166}
[19:06:20.265] {A=-94.8137,B=-84.8137,C=-74.8137,D=-64.8137,E=-54.8137,F=-44.8137,G=-34.8137,H=-24.8137,I=-14.8137,J=-4.8137}
[19:06:20.275] {A=-92.6319,B=-82.6319,C=-72.6319,D=-62.6319,E=-52.6319,F=-42.6319,G=-32.6319,H=-22.6319,I=-12.6319,J=-2.63193}
[19:06:20.289] {A=-90.085,B=-80.085,C=-70.085,D=-60.085,E=-50.085,F=-40.085,G=-30.085,H=-20.085,I=-10.085,J=-0.0849619}
[19:06:20.308] {A=-87.1828,B=-77.1828,C=-67.1828,D=-57.1828,E=-47.1828,F=-37.1828,G=-27.1828,H=-17.1828,I=-7.18283,J=2.81717}
[19:06:20.310] {A=-83.937,B=-73.937,C=-63.937,D=-53.937,E=-43.937,F=-33.937,G=-23.937,H=-13.937,I=-3.93697,J=6.06303}
[19:06:20.319] {A=-80.3602,B=-70.3602,C=-60.3602,D=-50.3602,E=-40.3602,F=-30.3602,G=-20.3602,H=-10.3602,I=-0.360188,J=9.63981}
[19:06:20.331] {A=-76.4666,B=-66.4666,C=-56.4666,D=-46.4666,E=-36.4666,F=-26.4666,G=-16.4666,H=-6.46658,I=3.53342,J=13.5334}
[19:06:20.339] {A=-72.2715,B=-62.2715,C=-52.2715,D=-42.2715,E=-32.2715,F=-22.2715,G=-12.2715,H=-2.2715,I=7.7285,J=17.7285}
[19:06:20.351] {A=-67.7915,B=-57.7915,C=-47.7915,D=-37.7915,E=-27.7915,F=-17.7915,G=-7.79149,H=2.20851,I=12.2085,J=22.2085}
[19:06:20.360] {A=-63.0442,B=-53.0442,C=-43.0442,D=-33.0442,E=-23.0442,F=-13.0442,G=-3.04421,H=6.95579,I=16.9558,J=26.9558}
[19:06:20.372] {A=-58.0484,B=-48.0484,C=-38.0484,D=-28.0484,E=-18.0484,F=-8.04837,G=1.95163,H=11.9516,I=21.9516,J=31.9516}
[19:06:20.377] {A=-52.8237,B=-42.8237,C=-32.8237,D=-22.8237,E=-12.8237,F=-2.82368,G=7.17632,H=17.1763,I=27.1763,J=37.1763}
[19:06:20.383] {A=-47.3907,B=-37.3907,C=-27.3907,D=-17.3907,E=-7.39072,F=2.60928,G=12.6093,H=22.6093,I=32.6093,J=42.6093}
[19:06:20.403] {A=-41.7709,B=-31.7709,C=-21.7709,D=-11.7709,E=-1.77092,F=8.22908,G=18.2291,H=28.2291,I=38.2291,J=48.2291}
[19:06:20.405] {A=-35.9864,B=-25.9864,C=-15.9864,D=-5.98645,E=4.01355,F=14.0136,G=24.0136,H=34.0136,I=44.0136,J=54.0136}
[19:06:20.415] {A=-30.0601,B=-20.0601,C=-10.0601,D=-0.0600883,E=9.93991,F=19.9399,G=29.9399,H=39.9399,I=49.9399,J=59.9399}
[19:06:20.432] {A=-24.0152,B=-14.0152,C=-4.01522,D=5.98478,E=15.9848,F=25.9848,G=35.9848,H=45.9848,I=55.9848,J=65.9848}
[19:06:20.434] {A=-17.8757,B=-7.87567,C=2.12433,D=12.1243,E=22.1243,F=32.1243,G=42.1243,H=52.1243,I=62.1243,J=72.1243}
[19:06:20.444] {A=-11.6656,B=-1.66564,C=8.33436,D=18.3344,E=28.3344,F=38.3344,G=48.3344,H=58.3344,I=68.3344,J=78.3344}
[19:06:20.457] {A=-5.40962,B=4.59038,C=14.5904,D=24.5904,E=34.5904,F=44.5904,G=54.5904,H=64.5904,I=74.5904,J=84.5904}
[19:06:20.476] {A=0.867728,B=10.8677,C=20.8677,D=30.8677,E=40.8677,F=50.8677,G=60.8677,H=70.8677,I=80.8677,J=90.8677}
[19:06:20.477] {A=7.14165,B=17.1417,C=27.1417,D=37.1417,E=47.1417,F=57.1417,G=67.1417,H=77.1417,I=87.1417,J=97.1417}
[19:06:20.485] {A=13.3874,B=23.3874,C=33.3874,D=43.3874,E=53.3874,F=63.3874,G=73.3874,H=83.3874,I=93.3874,J=103.387}
[19:06:20.497] {A=19.5804,B=29.5804,C=39.5804,D=49.5804,E=59.5804,F=69.5804,G=79.5804,H=89.5804,I=99.5804,J=109.58}
[19:06:20.507] {A=25.6962,B=35.6962,C=45.6962,D=55.6962,E=65.6962,F=75.6962,G=85.6962,H=95.6962,I=105.696,J=115.696}
[19:06:20.520] {A=31.7107,B=41.7107,C=51.7107,D=61.7107,E=71.7107,F=81.7107,G=91.7107,H=101.711,I=111.711,J=121.711}
[19:06:20.534] {A=37.6002,B=47.6002,C=57.6002,D=67.6002,E=77.6002,F=87.6002,G=97.6002,H=107.6,I=117.6,J=127.6}
[19:06:20.535] {A=43.3414,B=53.3414,C=63.3414,D=73.3414,E=83.3414,F=93.3414,G=103.341,H=113.341,I=123.341,J=133.341}
[19:06:20.545] {A=48.9117,B=58.9117,C=68.9117,D=78.9117,E=88.9117,F=98.9117,G=108.912,H=118.912,I=128.912,J=138.912}
[19:06:20.553] {A=54.2892,B=64.2892,C=74.2892,D=84.2892,E=94.2892,F=104.289,G=114.289,H=124.289,I=134.289,J=144.289}
[19:06:20.573] {A=59.4527,B=69.4527,C=79.4527,D=89.4527,E=99.4527,F=109.453,G=119.453,H=129.453,I=139.453,J=149.453}
[19:06:20.575] {A=64.3818,B=74.3818,C=84.3818,D=94.3818,E=104.382,F=114.382,G=124.382,H=134.382,I=144.382,J=154.382}
[19:06:20.588] {A=69.057,B=79.057,C=89.057,D=99.057,E=109.057,F=119.057,G=129.057,H=139.057,I=149.057,J=159.057}
[19:06:20.594] {A=73.46,B=83.46,C=93.46,D=103.46,E=113.46,F=123.46,G=133.46,H=143.46,I=153.46,J=163.46}
[19:06:20.610] {A=77.5734,B=87.5734,C=97.5734,D=107.573,E=117.573,F=127.573,G=137.573,H=147.573,I=157.573,J=167.573}
[19:06:20.626] {A=81.3809,B=91.3809,C=101.381,D=111.381,E=121.381,F=131.381,G=141.381,H=151.381,I=161.381,J=171.381}
[19:06:20.627] {A=84.8676,B=94.8676,C=104.868,D=114.868,E=124.868,F=134.868,G=144.868,H=154.868,I=164.868,J=174.868}
[19:06:20.635] {A=88.0197,B=98.0197,C=108.02,D=118.02,E=128.02,F=138.02,G=148.02,H=158.02,I=168.02,J=178.02}
[19:06:20.657] {A=90.8248,B=100.825,C=110.825,D=120.825,E=130.825,F=140.825,G=150.825,H=160.825,I=170.825,J=180.825}
[19:06:20.659] {A=93.2718,B=103.272,C=113.272,D=123.272,E=133.272,F=143.272,G=153.272,H=163.272,I=173.272,J=183.272}
[19:06:20.668] {A=95.351,B=105.351,C=115.351,D=125.351,E=135.351,F=145.351,G=155.351,H=165.351,I=175.351,J=185.351}
[19:06:20.675] {A=97.0544,B=107.054,C=117.054,D=127.054,E=137.054,F=147.054,G=157.054,H=167.054,I=177.054,J=187.054}
[19:06:20.684] {A=98.3751,B=108.375,C=118.375,D=128.375,E=138.375,F=148.375,G=158.375,H=168.375,I=178.375,J=188.375}
[19:06:20.707] {A=99.3079,B=109.308,C=119.308,D=129.308,E=139.308,F=149.308,G=159.308,H=169.308,I=179.308,J=189.308}
[19:06:20.708] {A=99.8492,B=109.849,C=119.849,D=129.849,E=139.849,F=149.849,G=159.849,H=169.849,I=179.849,J=189.849}
[19:06:20.715] {A=99.9969,B=109.997,C=119.997,D=129.997,E=139.997,F=149.997,G=159.997,H=169.997,I=179.997,J=189.997}
[19:06:20.725] {A=99.7503,B=109.75,C=119.75,D=129.75,E=139.75,F=149.75,G=159.75,H=169.75,I=179.75,J=189.75}
[19:06:20.746] {A=99.1105,B=109.11,C=119.11,D=129.11,E=139.11,F=149.11,G=159.11,H=169.11,I=179.11,J=189.11}
[19:06:20.747] {A=98.0799,B=108.08,C=118.08,D=128.08,E=138.08,F=148.08,G=158.08,H=168.08,I=178.08,J=188.08}
[19:06:20.755] {A=96.6626,B=106.663,C=116.663,D=126.663,E=136.663,F=146.663,G=156.663,H=166.663,I=176.663,J=186.663}
[19:06:20.765] {A=94.8642,B=104.864,C=114.864,D=124.864,E=134.864,F=144.864,G=154.864,H=164.864,I=174.864,J=184.864}
[19:06:20.783] {A=92.6918,B=102.692,C=112.692,D=122.692,E=132.692,F=142.692,G=152.692,H=162.692,I=172.692,J=182.692}
[19:06:20.791] {A=90.154,B=100.154,C=110.154,D=120.154,E=130.154,F=140.154,G=150.154,H=160.154,I=170.154,J=180.154}
[19:06:20.793] {A=87.2607,B=97.2607,C=107.261,D=117.261,E=127.261,F=137.261,G=147.261,H=157.261,I=167.261,J=177.261}
[19:06:20.803] {A=84.0234,B=94.0234,C=104.023,D=114.023,E=124.023,F=134.023,G=144.023,H=154.023,I=164.023,J=174.023}
[19:06:20.823] {A=80.4549,B=90.4549,C=100.455,D=110.455,E=120.455,F=130.455,G=140.455,H=150.455,I=160.455,J=170.455}
[19:06:20.832] {A=76.5691,B=86.5691,C=96.5691,D=106.569,E=116.569,F=126.569,G=136.569,H=146.569,I=156.569,J=166.569}
[19:06:20.833] {A=72.3815,B=82.3815,C=92.3815,D=102.381,E=112.381,F=122.381,G=132.381,H=142.381,I=152.381,J=162.381}
[19:06:20.851] {A=67.9085,B=77.9085,C=87.9085,D=97.9085,E=107.908,F=117.908,G=127.908,H=137.908,I=147.908,J=157.908}
[19:06:20.856] {A=63.1678,B=73.1678,C=83.1678,D=93.1678,E=103.168,F=113.168,G=123.168,H=133.168,I=143.168,J=153.168}
[19:06:20.883] {A=58.178,B=68.178,C=78.178,D=88.178,E=98.178,F=108.178,G=118.178,H=128.178,I=138.178,J=148.178}
[19:06:20.885] {A=52.9588,B=62.9588,C=72.9588,D=82.9588,E=92.9588,F=102.959,G=112.959,H=122.959,I=132.959,J=142.959}
[19:06:20.885] {A=47.5309,B=57.5309,C=67.5309,D=77.5309,E=87.5309,F=97.5309,G=107.531,H=117.531,I=127.531,J=137.531}
[19:06:20.898] {A=41.9156,B=51.9156,C=61.9156,D=71.9156,E=81.9156,F=91.9156,G=101.916,H=111.916,I=121.916,J=131.916}
[19:06:20.906] {A=36.135,B=46.135,C=56.135,D=66.135,E=76.135,F=86.135,G=96.135,H=106.135,I=116.135,J=126.135}
[19:06:20.924] {A=30.2119,B=40.2119,C=50.2119,D=60.2119,E=70.2119,F=80.2119,G=90.2119,H=100.212,I=110.212,J=120.212}
[19:06:20.925] {A=24.1698,B=34.1698,C=44.1698,D=54.1698,E=64.1698,F=74.1698,G=84.1698,H=94.1698,I=104.17,J=114.17}
[19:06:20.933] {A=18.0323,B=28.0323,C=38.0323,D=48.0323,E=58.0323,F=68.0323,G=78.0323,H=88.0323,I=98.0323,J=108.032}
[19:06:20.943] {A=11.8238,B=21.8238,C=31.8238,D=41.8238,E=51.8238,F=61.8238,G=71.8238,H=81.8238,I=91.8238,J=101.824}
[19:06:20.959] {A=5.56864,B=15.5686,C=25.5686,D=35.5686,E=45.5686,F=55.5686,G=65.5686,H=75.5686,I=85.5686,J=95.5686}
[19:06:20.965] {A=-0.708467,B=9.29153,C=19.2915,D=29.2915,E=39.2915,F=49.2915,G=59.2915,H=69.2915,I=79.2915,J=89.2915}
[19:06:20.976] {A=-6.98279,B=3.01721,C=13.0172,D=23.0172,E=33.0172,F=43.0172,G=53.0172,H=63.0172,I=73.0172,J=83.0172}
[19:06:20.987] {A=-13.2296,B=-3.22958,C=6.77042,D=16.7704,E=26.7704,F=36.7704,G=46.7704,H=56.7704,I=66.7704,J=76.7704}
[19:06:20.993] {A=-19.4242,B=-9.42421,C=0.575794,D=10.5758,E=20.5758,F=30.5758,G=40.5758,H=50.5758,I=60.5758,J=70.5758}
[19:06:21.015] {A=-25.5423,B=-15.5423,C=-5.54226,D=4.45774,E=14.4577,F=24.4577,G=34.4577,H=44.4577,I=54.4577,J=64.4577}
[19:06:21.016] {A=-31.5596,B=-21.5596,C=-11.5596,D=-1.5596,E=8.4404,F=18.4404,G=28.4404,H=38.4404,I=48.4404,J=58.4404}
[19:06:21.023] {A=-37.4525,B=-27.4525,C=-17.4525,D=-7.45253,E=2.54747,F=12.5475,G=22.5475,H=32.5475,I=42.5475,J=52.5475}
[19:06:21.035] {A=-43.1978,B=-33.1978,C=-23.1978,D=-13.1978,E=-3.19779,F=6.80221,G=16.8022,H=26.8022,I=36.8022,J=46.8022}
[19:06:21.054] {A=-48.7727,B=-38.7727,C=-28.7727,D=-18.7727,E=-8.77275,F=1.22725,G=11.2273,H=21.2273,I=31.2273,J=41.2273}
[19:06:21.055] {A=-54.1554,B=-44.1554,C=-34.1554,D=-24.1554,E=-14.1554,F=-4.15542,G=5.84458,H=15.8446,I=25.8446,J=35.8446}
[19:06:21.073] {A=-59.3246,B=-49.3246,C=-39.3246,D=-29.3246,E=-19.3246,F=-9.32457,G=0.675427,H=10.6754,I=20.6754,J=30.6754}
[19:06:21.082] {A=-64.2598,B=-54.2598,C=-44.2598,D=-34.2598,E=-24.2598,F=-14.2598,G=-4.25984,H=5.74016,I=15.7402,J=25.7402}
[19:06:21.086] {A=-68.9418,B=-58.9418,C=-48.9418,D=-38.9418,E=-28.9418,F=-18.9418,G=-8.94176,H=1.05824,I=11.0582,J=21.0582}
[19:06:21.095] {A=-73.3519,B=-63.3519,C=-53.3519,D=-43.3519,E=-33.3519,F=-23.3519,G=-13.3519,H=-3.35187,I=6.64813,J=16.6481}
[19:06:21.104] {A=-77.4728,B=-67.4728,C=-57.4728,D=-47.4728,E=-37.4728,F=-27.4728,G=-17.4728,H=-7.4728,I=2.5272,J=12.5272}
[19:06:21.113] {A=-81.2883,B=-71.2883,C=-61.2883,D=-51.2883,E=-41.2883,F=-31.2883,G=-21.2883,H=-11.2883,I=-1.28828,J=8.71172}
[19:06:21.133] {A=-84.7833,B=-74.7833,C=-64.7833,D=-54.7833,E=-44.7833,F=-34.7833,G=-24.7833,H=-14.7833,I=-4.78328,J=5.21672}
[19:06:21.140] {A=-87.944,B=-77.944,C=-67.944,D=-57.944,E=-47.944,F=-37.944,G=-27.944,H=-17.944,I=-7.94401,J=2.05599}
[19:06:21.149] {A=-90.758,B=-80.758,C=-70.758,D=-60.758,E=-50.758,F=-40.758,G=-30.758,H=-20.758,I=-10.758,J=-0.758026}
[19:06:21.169] {A=-93.2142,B=-83.2142,C=-73.2142,D=-63.2142,E=-53.2142,F=-43.2142,G=-33.2142,H=-23.2142,I=-13.2142,J=-3.21422}
[19:06:21.171] {A=-95.3029,B=-85.3029,C=-75.3029,D=-65.3029,E=-55.3029,F=-45.3029,G=-35.3029,H=-25.3029,I=-15.3029,J=-5.30292}
[19:06:21.176] {A=-97.0159,B=-87.0159,C=-77.0159,D=-67.0159,E=-57.0159,F=-47.0159,G=-37.0159,H=-27.0159,I=-17.0159,J=-7.01588}
[19:06:21.185] {A=-98.3463,B=-88.3463,C=-78.3463,D=-68.3463,E=-58.3463,F=-48.3463,G=-38.3463,H=-28.3463,I=-18.3463,J=-8.34635}
[19:06:21.203] {A=-99.2891,B=-89.2891,C=-79.2891,D=-69.2891,E=-59.2891,F=-49.2891,G=-39.2891,H=-29.2891,I=-19.2891,J=-9.28908}
[19:06:21.205] {A=-99.8404,B=-89.8404,C=-79.8404,D=-69.8404,E=-59.8404,F=-49.8404,G=-39.8404,H=-29.8404,I=-19.8404,J=-9.84036}
[19:06:21.214] {A=-99.998,B=-89.998,C=-79.998,D=-69.998,E=-59.998,F=-49.998,G=-39.998,H=-29.998,I=-19.998,J=-9.99802}
[19:06:21.230] {A=-99.7614,B=-89.7614,C=-79.7614,D=-69.7614,E=-59.7614,F=-49.7614,G=-39.7614,H=-29.7614,I=-19.7614,J=-9.76143}
[19:06:21.236] {A=-99.1315,B=-89.1315,C=-79.1315,D=-69.1315,E=-59.1315,F=-49.1315,G=-39.1315,H=-29.1315,I=-19.1315,J=-9.13153}
[19:06:21.249] {A=-98.1108,B=-88.1108,C=-78.1108,D=-68.1108,E=-58.1108,F=-48.1108,G=-38.1108,H=-28.1108,I=-18.1108,J=-8.1108}
[19:06:21.253] {A=-96.7033,B=-86.7033,C=-76.7033,D=-66.7033,E=-56.7033,F=-46.7033,G=-36.7033,H=-26.7033,I=-16.7033,J=-6.70326}
[19:06:21.272] {A=-94.9145,B=-84.9145,C=-74.9145,D=-64.9145,E=-54.9145,F=-44.9145,G=-34.9145,H=-24.9145,I=-14.9145,J=-4.91447}
[19:06:21.273] {A=-92.7515,B=-82.7515,C=-72.7515,D=-62.7515,E=-52.7515,F=-42.7515,G=-32.7515,H=-22.7515,I=-12.7515,J=-2.75147}
[19:06:21.283] {A=-90.2228,B=-80.2228,C=-70.2228,D=-60.2228,E=-50.2228,F=-40.2228,G=-30.2228,H=-20.2228,I=-10.2228,J=-0.222789}
[19:06:21.295] {A=-87.3384,B=-77.3384,C=-67.3384,D=-57.3384,E=-47.3384,F=-37.3384,G=-27.3384,H=-17.3384,I=-7.3384,J=2.6616}
[19:06:21.327] {A=-84.1097,B=-74.1097,C=-64.1097,D=-54.1097,E=-44.1097,F=-34.1097,G=-24.1097,H=-14.1097,I=-4.10969,J=5.89031}
[19:06:21.328] {A=-80.5494,B=-70.5494,C=-60.5494,D=-50.5494,E=-40.5494,F=-30.5494,G=-20.5494,H=-10.5494,I=-0.549359,J=9.45064}
[19:06:21.329] {A=-76.6715,B=-66.6715,C=-56.6715,D=-46.6715,E=-36.6715,F=-26.6715,G=-16.6715,H=-6.67146,I=3.32854,J=13.3285}
[19:06:21.334] {A=-72.4913,B=-62.4913,C=-52.4913,D=-42.4913,E=-32.4913,F=-22.4913,G=-12.4913,H=-2.49129,I=7.50871,J=17.5087}
[19:06:21.354] {A=-68.0253,B=-58.0253,C=-48.0253,D=-38.0253,E=-28.0253,F=-18.0253,G=-8.02531,H=1.97469,I=11.9747,J=21.9747}
[19:06:21.355] {A=-63.2911,B=-53.2911,C=-43.2911,D=-33.2911,E=-23.2911,F=-13.2911,G=-3.29114,H=6.70886,I=16.7089,J=26.7089}
[19:06:21.365] {A=-58.3074,B=-48.3074,C=-38.3074,D=-28.3074,E=-18.3074,F=-8.30745,G=1.69255,H=11.6926,I=21.6926,J=31.6926}
[19:06:21.383] {A=-53.0939,B=-43.0939,C=-33.0939,D=-23.0939,E=-13.0939,F=-3.09387,G=6.90613,H=16.9061,I=26.9061,J=36.9061}
[19:06:21.384] {A=-47.671,B=-37.671,C=-27.671,D=-17.671,E=-7.67097,F=2.32903,G=12.329,H=22.329,I=32.329,J=42.329}
[19:06:21.402] {A=-42.0601,B=-32.0601,C=-22.0601,D=-12.0601,E=-2.06012,F=7.93988,G=17.9399,H=27.9399,I=37.9399,J=47.9399}
[19:06:21.404] {A=-36.2835,B=-26.2835,C=-16.2835,D=-6.28345,E=3.71655,F=13.7165,G=23.7165,H=33.7165,I=43.7165,J=53.7165}
[19:06:21.415] {A=-30.3637,B=-20.3637,C=-10.3637,D=-0.363734,E=9.63627,F=19.6363,G=29.6363,H=39.6363,I=49.6363,J=59.6363}
